State,Month,Regular (<95 RON) (ML),Premium (95-97 RON) (ML),Premium (98+ RON) (ML),Ethanol-blended fuel (ML),Automotive gasoline: total (ML),Total: of which sales to retailers (ML),Diesel oil: total,Diesel oil: of which sales to retailers (ML),Aviation turbine fuel: domestic (ML),Aviation turbine fuel: international (ML),Aviation turbine fuel: total (ML),Other products (ML),Total: Petroleum sales
NSW,Jan 2020,139.8,81.1,105.4,109,435.4,338.3,565.6,253.4,60.5,252.2,312.7,64.1,870.7
NSW,Feb 2020,141.7,82.4,107.7,111.5,443.3,346.3,550.2,261.3,57.3,196.5,253.9,69.5,886.6
NSW,Mar 2020,137.9,80.3,111.3,104,433.5,334.8,605.3,267.9,49.3,153.9,203.2,72.9,867.0
NSW,Apr 2020,89.2,45.9,69.8,52.1,257.0,181.4,476.2,193.6,8.5,54.1,62.6,55.9,514.0
NSW,May 2020,122.5,56.8,96.3,73.4,349.1,256.9,544.8,236.1,10,71,81,60.9,698.1
NSW,Jun 2020,137.6,63.9,108.8,83.8,394.1,292.0,544.9,247.1,13.3,65.7,79,75.9,788.2
NSW,Jul 2020,147.6,71.3,115.4,88.5,422.8,322.3,544.9,263.8,15.3,66.2,81.5,65.7,845.6
NSW,Aug 2020,143.9,70.2,118.1,87.9,420.1,320.6,544.2,252.6,13.4,73.1,86.5,60.9,840.2
NSW,Sep 2020,141.7,73.0,122.1,89.3,426.1,325.3,558.8,262.1,14.8,70,84.8,61.1,852.2
NSW,Oct 2020,145.1,74.4,125.1,90,434.7,335.0,572.2,279.3,16.5,76.6,93.2,53.2,869.3
NSW,Nov 2020,146.6,75.6,125.9,91.7,439.8,335.0,604.2,281.1,21.2,79.2,100.4,62.9,879.6
NSW,Dec 2020,163.5,78.7,130.3,97.9,470.4,353.0,563.7,265.3,30,80.8,110.8,47.2,940.8
NSW,Jan 2021,135.6,69.0,119.2,81.9,405.7,307.4,516.9,242.0,14.7,70.3,85,42.7,811.4
NSW,Feb 2021,151.3,70.4,114.7,88.5,424.9,311.9,561.9,249.2,28.5,66.8,95.3,47.2,849.8
NSW,Mar 2021,156.9,75.1,122.5,100.1,454.7,333.0,589.7,270.1,39.6,73.1,112.7,53.0,909.3
NSW,Apr 2021,154.5,73.9,121.2,100.3,449.9,324.4,611.7,270.8,50.4,71.8,122.2,57.5,899.8
NSW,May 2021,157.3,74.5,124.6,105.3,461.6,333.8,632.3,274.8,49.1,75.3,124.4,60.0,923.3
NSW,Jun 2021,150.7,70.1,115.3,101,437.1,314.5,590.7,260.9,41.8,72.7,114.5,70.1,874.2
NSW,Jul 2021,108.7,46.5,73.4,65,293.7,209.3,546.0,220.6,19.1,72.6,91.7,60.6,587.3
NSW,Aug 2021,89.7,40.5,61.2,56,247.4,169.9,525.3,201.8,13.9,74.7,88.6,59.0,494.8
NSW,Sep 2021,94.7,43.8,66.3,60.3,265.1,178.2,553.5,210.8,14.9,71.1,86,57.8,530.2
NSW,Oct 2021,125.2,58.5,95.2,83.7,362.6,253.3,640.8,273.2,15.1,74.9,90,52.6,725.2
NSW,Nov 2021,146.1,70.4,109.3,97.1,422.8,307.6,601.0,266.1,23,82.4,105.5,55.5,845.7
NSW,Dec 2021,159.8,76.0,121.7,104.3,461.8,332.4,618.3,273.5,36.3,96.4,132.7,49.7,923.6
NSW,Jan 2022,142.0,66.5,105.5,89.1,403.1,297.2,546.6,238.9,36.9,102.6,139.4,39.2,806.2
NSW,Feb 2022,137.5,66.5,98.9,93,395.9,293.6,576.1,254.0,33.2,98.2,131.4,45.8,791.8
NSW,Mar 2022,152.7,67.5,98.5,102.5,421.2,305.9,608.1,268.5,44.8,116.7,161.5,49.2,842.4
NSW,Apr 2022,123.9,62.4,103,95.7,385.1,300.7,534.4,251.5,57.3,119.3,176.6,45.5,770.1
NSW,May 2022,156.5,67.7,103.3,100.3,427.7,313.4,636.4,278.4,59.2,124.5,183.7,64.3,855.5
NSW,Jun 2022,148.3,66.7,96.5,100.9,412.4,302.8,630.2,276.4,54.9,127.9,182.8,68.2,824.8
NSW,Jul 2022,155.0,66.0,100,93.3,414.2,308.6,588.5,267.3,81,141.8,222.7,59.5,828.5
NSW,Aug 2022,153.6,67.7,106.5,93.9,421.7,307.1,625.6,278.8,79.7,141.6,221.3,65.8,843.4
NSW,Sep 2022,157.4,72.3,107.6,95.7,432.9,318.0,597.6,274.6,52.3,135.1,187.4,59.0,865.9
NSW,Oct 2022,144.4,68.4,101.4,93.1,407.3,302.7,564.9,262.5,57.7,145.9,203.6,57.0,814.6
NSW,Nov 2022,157.6,69.9,106.4,100.2,434.0,308.7,635.8,285.9,58.2,154.8,212.9,72.1,868.1
